,Non_Reg_Coefficient,Ridge_Coefficient,Lasso_Coefficient,Elastic_Net_Coefficient
GarageFinish_2,0.00486756149207194,0.002045151424110378,0.002212944613893406,-0.0
Foundation_1,0.03967853577659323,0.019556557673598214,0.030424939332562947,-0.0
BsmtQual_2,-0.036767072898375025,-0.028729986360642137,-0.03595214376066444,0.0
BsmtFullBath_1,0.028656656632448027,0.01840655149368965,0.02436696861462444,0.0
KitchenQual_2,-0.040125103477375246,-0.017246372404887193,-0.02202110451107571,0.0
2ndFlrSF,-0.00014301313194314824,-0.00011045317621300397,-0.00014054894084469417,-0.00012532594203849788
HalfBath_1,0.028034359399685627,0.030554416020020268,0.03121756448826835,0.0
WoodDeckSF,0.0001179590846103161,0.00012386715460899512,0.00011709048873348658,0.0002621861928655194
OpenPorchSF,0.00016440479661431612,0.00011054222173020524,0.00012247947369232564,0.00034560258601258045
Exterior1st_12,0.011946192975656807,0.019229663841749445,0.0,0.0
Exterior2nd_13,-0.07717995496773,-0.00746712699622168,-0.0008522749092826017,0.0
ExterQual_2,0.035235869295168414,-0.0017121273461136047,0.01341785968524122,0.0
GarageFinish_1,0.000205698158382461,-0.0014563092811603292,-0.0,0.0
MasVnrType_1,0.04732058675918027,0.011592849204600278,0.012989294428348203,0.0
HouseStyle_5,-0.028775486287668416,-0.024345623755635253,-0.021191995594712378,0.0
BsmtFinType1_5,-0.023193902094615575,-0.013132613089326717,-0.014292556507087432,0.0
HeatingQC_4,-0.030106892226767976,-0.033096686059860825,-0.03067049210277132,-0.0
BsmtFinType1_2,0.0029024263147048555,0.012942657269167084,0.008860098650913749,0.0
GarageType_5,0.10471906590812097,0.01463659794536842,0.04394513683310034,-0.0
TotRmsAbvGrd_6,0.06787408354519585,0.025151462866473847,0.019266000420824148,0.0
OverallQual_5,0.07275096446435142,-0.007359841428160982,0.051701154876485945,-0.0
OverallQual_6,0.10202132479514123,0.014037681898423861,0.0774594910651271,-0.0
TotRmsAbvGrd_7,0.0718014497816713,0.023791584864093,0.020784969825326186,0.0
OverallQual_7,0.1405597611352233,0.047607617011139254,0.12492135661439611,0.0
MSSubClass_60,0.03546108823721477,0.009037432152002697,0.007478845012430544,0.0
RoofStyle_3,-0.19371800808480755,-0.009452547343105867,-0.06107326551607288,-0.0
TotRmsAbvGrd_5,0.05572644336312641,0.012589398968187018,0.007082395672624649,-0.0
OverallCond_6,0.12160544769018862,0.025194963964886866,0.08766352784828772,-0.0
HeatingQC_2,-0.020572232491194727,-0.019865936632544726,-0.01871502611493018,-0.0
Neighborhood_12,-0.06775406628821777,-0.024826662096485385,-0.02417020290347859,-0.0
Exterior1st_6,-0.04222493370692079,-0.006712486280477112,-0.019791616074643647,-0.0
Exterior1st_8,-0.013740755529445727,0.010604024573361986,-0.0,-0.0
MSZoning_4,0.29368748650234633,0.028958178034822014,0.21467894332257886,-0.0
Exterior2nd_8,-0.04914918289832589,-0.007956349275841839,-0.00541378391969967,-0.0
Exterior2nd_6,-0.05198128005355104,-0.009436490312351805,-0.012060937196593671,-0.0
Exterior1st_13,-0.07453015217148196,-0.03683689325396636,-0.05212658942389812,-0.0
OverallCond_7,0.17108263981142444,0.08363035914639573,0.14634361775913945,0.0
Exterior2nd_14,-0.01324107292889675,0.018858669662990546,0.02207040922344335,-0.0
TotRmsAbvGrd_8,0.06877947586831326,0.022180363501835113,0.01312349265890911,0.0
EnclosedPorch,-8.922224235141142e-05,-0.00011286957416048925,-0.00010862384127126156,-0.000505024590204515
OverallQual_8,0.18810003766652023,0.08079537940810314,0.16936817804934706,0.0
BsmtFinType1_1,-0.029134522957081892,-0.01755579808324173,-0.01982926827229171,-0.0
Neighborhood_5,-0.035424513665469885,-0.010523375997771776,-0.0,0.0
ExterCond_2,-0.07335511258543793,-0.006251394789994412,-0.0,-0.0
MSSubClass_50,-0.0032407189561596463,-0.017291314383252814,-0.021007967057931818,-0.0
Exterior2nd_10,-0.03875357733637294,-0.006021544638815975,-0.0033270645133828347,-0.0
BsmtFinType1_4,-0.006975986571495285,-0.006493279129497193,-0.00027042144076780134,-0.0
BsmtExposure_1,0.024144598582374614,0.02972335612752887,0.02840199707697863,0.0
MasVnrType_3,0.04655503525945915,0.01560533468129851,0.01178293760777695,0.0
SaleCondition_5,0.009287480434430553,0.043195566288884824,0.0,0.0
SaleType_6,0.11200388766219324,0.05357212498632368,0.1137383330200203,0.0
BsmtExposure_2,-0.014557025280437917,-0.020516353719302695,-0.019436992092204446,-0.0
Fireplaces_2,0.033863730121084214,0.03644833659428168,0.038466278449257756,0.0
OverallQual_4,0.02915661897470124,-0.03910790485328147,0.01582706345541626,-0.0
BldgType_4,0.027641534490903143,-0.015302335708977696,-0.010922818588732635,0.0
Neighborhood_17,-0.09406802047489644,-0.04479310545274972,-0.05322127853917992,-0.0
Exterior1st_9,-0.030432748488948662,0.005967216485118836,-0.0025178543480469657,-0.0
ScreenPorch,0.00024003088895757294,0.00015444474677461838,0.00017676160566982638,0.00016780225707218826
Neighborhood_7,-0.10083407260978271,-0.06894535791665597,-0.06632925180121238,-0.0
TotRmsAbvGrd_4,0.05060418853590296,0.012051655211803783,0.010463414142154709,-0.0
GarageType_3,0.12448243357216535,0.03097702335019922,0.06524999154357577,0.0
LotConfig_1,0.05926879571972501,0.03926067694160788,0.04728115011606963,0.0
MSSubClass_120,-0.05633576535626815,0.0010832958185227031,-0.008046079628520874,0.0
Neighborhood_21,0.03502879142451883,0.06909273369728511,0.08335298267780912,0.0
Condition1_1,0.02463326637586523,-0.006894625276459694,0.009476298025523865,-0.0
Neighborhood_8,-0.023695699314048885,0.002889464973776394,0.007693011352633937,0.0
Neighborhood_16,0.08795149892053085,0.08491577149950533,0.1105036090929288,0.0
TotRmsAbvGrd_9,0.04457414683378423,0.01003828584895239,-0.001105639411682887,-0.0
BsmtFinType1_3,-0.027439326076364,-0.017409036661504906,-0.016457677419971922,-0.0
Neighborhood_19,-0.07008819949517753,-0.0225058855602453,-0.026329659968600753,-0.0
Neighborhood_14,-0.08140499325284252,-0.023913441687967555,-0.035032492256882396,-0.0
